Sample ID,site,treatment,ST,wetstart,wetend,wetdelmass,,,,,,,,,,,,,,,,,,,,,,,,
1.1.6,1,1,11,0.93,0.6522,0.2778,,,,,,,,,,,,,,,,,,,,,,,,
1.1.9,1,1,11,1.02,0.3985,0.6215,,,,,,,,,,,,,,,,,,,,,,,,
1.1.8,1,1,11,0.89,0.3448,0.5452,,,,,,,,,,,,,,,,,,,,,,,,
1.1.10,1,1,11,0.91,0.1876,0.7224,,,,,,,,,,,,,,,,,,,,,,,,
1.1.12,1,1,11,0.93,0.6097,0.3203,,,,,,,,,,,,,,,,,,,,,,,,
1.2.11,1,2,12,0.96,0.5564,0.4036,,,,,,,,,,,,,,,,,,,,,,,,
1.2.9,1,2,12,1.09,0.2679,0.8221,,,,,,,,,,,,,,,,,,,,,,,,
1.2.10,1,2,12,0.89,0.1870,0.703,,,,,,,,,,,,,,,,,,,,,,,,
1.3.8,1,3,13,0.88,0.8442,0.0358,,,,,,,,,,,,,,,,,,,,,,,,
1.3.9,1,3,13,0.83,1.5315,-0.7015,,,,,,,,,,,,,,,,,,,,,,,,
1.3.11,1,3,13,0.85,0.8785,-0.0285,,,,,,,,,,,,,,,,,,,,,,,,
1.3.5,1,3,13,0.84,1.4910,-0.651,,,,,,,,,,,,,,,,,,,,,,,,
2.1.5,2,1,21,0.67,0.5283,0.1417,,,,,,,,,,,,,,,,,,,,,,,,
2.1.1,2,1,21,0.61,0.2046,0.4054,,,,,,,,,,,,,,,,,,,,,,,,
2.2.4,2,2,22,0.74,0.0892,0.6508,,,,,,,,,,,,,,,,,,,,,,,,
2.2.7,2,2,22,0.63,0.1277,0.5023,,,,,,,,,,,,,,,,,,,,,,,,
2.2.5,2,2,22,0.7,0.0493,0.6507,,,,,,,,,,,,,,,,,,,,,,,,
2.3.5,2,3,23,0.52,1.5002,-0.9802,,,,,,,,,,,,,,,,,,,,,,,,
2.3.6,2,3,23,0.32,1.0441,-0.7241,,,,,,,,,,,,,,,,,,,,,,,,
2.3.11,2,3,23,0.75,0.7293,0.0207,,,,,,,,,,,,,,,,,,,,,,,,
2.3.2,2,3,23,0.5,1.0104,-0.5104,,,,,,,,,,,,,,,,,,,,,,,,
3.1.1,3,1,31,1.17,0.4930,0.677,,,,,,,,,,,,,,,,,,,,,,,,
3.1.3,3,1,31,1.08,0.3550,0.725,,,,,,,,,,,,,,,,,,,,,,,,
3.1.5,3,1,31,0.98,0.3182,0.6618,,,,,,,,,,,,,,,,,,,,,,,,
3.1.11,3,1,31,1.1,0.3672,0.7328,,,,,,,,,,,,,,,,,,,,,,,,
3.1.8,3,1,31,0.92,0.3489,0.5711,,,,,,,,,,,,,,,,,,,,,,,,
3.2.8,3,2,32,1.11,0.0616,1.0484,,,,,,,,,,,,,,,,,,,,,,,,
3.2.5,3,2,32,1,0.1054,0.8946,,,,,,,,,,,,,,,,,,,,,,,,
3.2.7,3,2,32,1.07,0.2275,0.8425,,,,,,,,,,,,,,,,,,,,,,,,
3.3.4,3,3,33,1.07,1.0682,0.0018,,,,,,,,,,,,,,,,,,,,,,,,
3.3.12,3,3,33,1.16,0.7132,0.4468,,,,,,,,,,,,,,,,,,,,,,,,
3.3.7,3,3,33,1.01,0.8569,0.1531,,,,,,,,,,,,,,,,,,,,,,,,
3.3.3,3,3,33,1.06,0.6115,0.4485,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
