Sample_ID,Tx,TxNum,Site,Tx_Site,Site_Tx,Mn_Conc
1_1_13,background,1,1,11,11,0.033692575
1_1_14,background,1,1,11,11,0.029816129
1_1_15,background,1,1,11,11,0.031337924
2_2_13,background,1,2,12,21,0.302529748
2_2_14,background,1,2,12,21,0.260627389
2_2_15,background,1,2,12,21,0.284893548
3_1_13,background,1,3,13,31,0.387364333
3_1_14,background,1,3,13,31,0.29136991
3_1_15,background,1,3,13,31,0.398768433
1_4_L,control,2,1,21,21,0.23368125
1_5_L,control,2,1,21,21,0.267791284
1_6_L,control,2,1,21,21,0.349685185
2_L_1,control,2,2,22,22,0.733808824
2_L_4,control,2,2,22,22,0.702468121
2_L_6,control,2,2,22,22,0.732076119
3_L_1,control,2,3,23,32,0.403467568
3_L_2,control,2,3,23,32,0.3259575
3_L_3,control,2,3,23,32,0.664284653
1_1_L,MnTx,3,1,31,13,1.36771875
1_2_L,MnTx,3,1,31,13,0.800566946
1_3_L,MnTx,3,1,31,13,0.710861233
2_L_2,MnTx,3,2,32,23,1.172330619
2_L_3,MnTx,3,2,32,23,1.534459276
2_L_5,MnTx,3,2,32,23,0.870596939
3_L_4,MnTx,3,3,33,33,1.655132813
3_L_5,MnTx,3,3,33,33,1.4809275
3_L_6,MnTx,3,3,33,33,1.1816775
